5.02056	-10.022 0.30799	17.2010	0.0309
8.08197	-8.0264	-4.3429	17.3559	0.0320
10.5186	-12.414	-1.3029	16.6879	0.0240
8.72112	-5.3280	0.51599	16.0480	0.0384
11.9768	-7.8048	-0.7470	20.4710	0.0325
11.7238	-3.4025	-4.0350	17.5190	0.0348
12.3054	-7.6035	-2.7420	13.5960	0.0354
9.4646	-2.0030	-3.1760	12.8650	0.0365
12.2862	-8.6388	3.4290	16.0660	0.0349
6.9332	-9.2031	-3.5510	12.4790	0.0321
13.3882	-1.9587	0.5790	14.8540	0.0437
15.9328	-6.6209	-0.3130	17.1240	0.0407
14.1784	-2.7687	-0.3220	20.9110	0.0423
14.9914	-2.2151	-4.8040	13.4100	0.0307
12.5164	-4.1310	0.3220	10.0090	0.0399
15.9412	-5.8625	-5.3700	19.9710	0.0287
10.0678	0.7592	-0.4660	18.7590	0.0382
13.7791	-3.3965	5.1620	18.6270	0.1067
16.3345	-7.0811	5.9490	20.4530	0.0497
10.9731	-2.4164	4.2750	22.4870	0.0652
10.7848	-4.4006	8.2700	20.3210	0.0401
15.5586	-0.3051	7.2430	22.0050	0.0732
11.0019	-0.1637	6.8270	17.1150	0.1164
15.6474	0.2716	7.9350	17.2700	0.0160
12.4217	-3.4073	9.9300	15.2400	0.0162
7.4104	2.0054	6.1530	19.8120	0.1525
7.0279	0.0000	3.9270	15.9750	0.0888
6.4727	1.3308	9.3730	17.1110	0.0630
5.6465	-0.9138	2.6150	20.7340	0.0553
5.9943	4.2137	2.1760	19.7120	0.0413
10.6517	3.4804	9.1970	20.2030	0.0158
6.0362	5.6348	6.7590	16.9880	0.0786
13.4841	1.9335	4.5560	20.3530	0.1041
9.7692	2.2031	4.2570	23.6990	0.0607
9.1804	0.3974	-9.7850	19.9210	0.0254
1.4303	-6.9421	4.5200	18.5770	0.0522
7.7906	-6.5562	2.1810	5.9450	0.0535
11.0678	-10.406 5.9580	26.7820	0.0364
10.3711	-10.183 10.9160	21.8560	0.0177
17.5636	-6.0841	3.2260	12.8060	0.0565
19.6801	-4.7469	-4.5960	9.0690	0.0318
13.5477	7.3614	1.6520	18.1000	0.0327
4.5061	2.5937	-1.3390	15.1350	0.0331
11.9240	-14.9043	0.5700	29.0800	0.0233
5.9943	6.7384	6.7040	22.7230	0.0639
2.6966	2.9652	5.9990	21.8330	0.1927
5.2616	0.8383	8.1160	24.2440	0.1158
3.2338	2.1348	4.0940	25.8380	0.1166
1.9723	-0.7688	6.7900	18.6450	0.1779
3.2482	4.2904	10.6490	21.0290	0.0461
-0.6197	1.6519	3.7550	20.1800	0.1179
-0.2756	0.7412	9.9210	21.7880	0.0684
1.3308	1.3248	4.9180	15.2810	0.1138
